stockID,name,EPS_quater_previous,EPS_quater_newest,pe_ratio,volume,revenue_previous,revenue_newest
6573,虹揚-KY,-0.6,-0.73,238.0,74362.0,62634.0,
6579,研揚,3.61,1.97,23.48,138.0,545879.0,595341.0
6581,鋼聯,1.17,2.55,20.33,179.0,175113.0,224052.0
6582,申豐,-0.23,0.37,121.0,207846.0,197884.0,
6585,鼎基,2.72,3.21,14.88,284.0,276839.0,243316.0
6591,動力-KY,0.71,0.51,17.19,111.0,120609.0,142227.0
6592,和潤企業,0.98,1.64,16.37,490.0,2453253.0,2124058.0
6598,ABC-KY,-0.77,-0.61,199.0,16489.0,18562.0,
6605,帝寶,5.34,4.9,13.75,1069.0,1706796.0,1673742.0
6606,建德工業,0.21,0.36,26.5,1112.0,51846.0,58037.0
6625,必應,1.02,1.31,13.19,649.0,269025.0,514199.0
6641,基士德-KY,0.6,0.55,16.25,236.0,145300.0,188391.0
6655,科定,0.98,1.45,30.71,5.0,234592.0,210765.0
6657,華安,-0.56,-0.64,54.0,1050.0,455.0,
6658,聯策,0.02,0.47,99.52,14509.0,105800.0,110324.0
6666,羅麗芬-KY,0.3,0.97,38.85,27.0,101133.0,108839.0
6668,中揚光,-0.46,-0.68,439.0,100814.0,91672.0,
6669,緯穎,26.92,26.85,23.02,1552.0,32192450.0,34504530.0
6670,復盛應用,7.01,5.57,13.78,196.0,2581090.0,2333930.0
6671,三能-KY,0.67,0.85,14.25,8.0,144549.0,186894.0
6672,騰輝電子-KY,1.25,1.89,11.87,129.0,318294.0,334830.0
6674,鋐寶科技,-0.61,-0.34,18.0,105547.0,89046.0,
6689,伊雲谷,0.41,0.46,37.72,596.0,1116647.0,1079999.0
6691,洋基工程,4.13,4.33,16.81,334.0,1109980.0,1563772.0
6695,芯鼎,-0.23,-0.4,719.0,92410.0,93510.0,
6698,旭暉應材,-0.29,-0.38,635.0,68839.0,64797.0,
6706,惠特,-0.98,-1.67,5036.0,65675.0,84880.0,
6715,嘉基,1.66,1.49,30.21,624.0,190378.0,189538.0
6719,力智,1.41,1.07,102.19,387.0,333221.0,337358.0
6742,澤米,0.02,0.12,905.56,3943.0,58415.0,60729.0
6743,安普新,-0.26,0.72,101.13,429.0,962529.0,654830.0
6753,龍德造船,2.37,2.01,15.98,470.0,399582.0,345462.0
6754,匯僑設計,0.9,2.43,10.55,53.0,469820.0,451836.0
6756,威鋒電子,0.73,0.75,62.32,102.0,149810.0,141317.0
6768,志強-KY,1.73,2.29,21.83,1270.0,1587600.0,1299184.0
6770,力積電,-0.11,-0.47,14953.0,3947164.0,3900201.0,
6776,展碁國際,1.07,1.02,11.81,27.0,2059419.0,2368325.0
6781,AES-KY,5.41,5.22,25.08,44.0,773335.0,862092.0
6782,視陽,2.7,2.29,27.45,365.0,391347.0,309984.0
6789,采鈺,0.57,1.34,133.56,764.0,928965.0,902408.0
6790,永豐實,0.93,0.71,12.1,102.0,937341.0,985886.0
6792,詠業,0.54,0.47,20.6,18.0,117609.0,98894.0
6796,晉弘,-0.3,0.07,120.99,23.0,32335.0,34060.0
6799,來頡,0.97,0.7,25.34,205.0,73209.0,73307.0
6805,富世達,3.27,3.74,71.24,1035.0,601478.0,771374.0
6806,森崴能源,0.46,0.64,37.24,832.0,1404437.0,951759.0
6807,峰源-KY,1.75,2.06,12.13,132.0,409295.0,494268.0
6830,汎銓,-0.2,0.87,56.53,3447.0,170870.0,166502.0
6834,天二科技,0.05,0.32,1265.0,188.0,125258.0,105126.0
6835,圓裕,0.96,0.98,12.44,124.0,208184.0,194866.0
6838,台新藥,-0.15,-0.72,339.0,4333.0,,
6861,睿生光電,0.51,1.51,22.1,61.0,149991.0,166690.0
6862,三集瑞-KY,0,29.04,1626.0,206118.0,,
6863,永道-KY,2.54,3.04,33.72,1170.0,354016.0,444595.0
6869,雲豹能源,-0.02,1.11,38.4,1530.0,182335.0,222775.0
6873,泓德能源,0.46,1.1,31.69,1254.0,614868.0,764328.0
6890,來億-KY,3.36,4.72,69.71,1223.0,3426987.0,2516805.0
6901,鑽石投資,-0.95,-0.16,645.0,98909.0,-723448.0,
6906,現觀科,0.56,0.2,53.49,561.0,31617.0,51566.0
6914,阜爾運通,2.06,1.75,17.66,29.0,411138.0,390403.0
6916,華凌,0.05,0.01,47.41,50.0,184358.0,197001.0
6919,康霈*,-1.57,-1.27,188.0,9729.0,11116.0,
6923,中台,0.88,1.68,22.95,402.0,129948.0,135329.0
6928,攸泰科技,0.33,-0.46,31.44,95.0,250385.0,110560.0
6933,AMAX-KY,1.59,0.32,59.14,255.0,341152.0,315949.0
6937,天虹,1.25,1.39,56.18,2929.0,311157.0,145530.0
6952,大武山,0.72,0.23,21.82,100.0,98492.0,94850.0
6957,裕慶-KY,4.57,2.23,15.34,172.0,294560.0,374127.0
6958,日盛台駿,0.31,0.5,24.51,249.0,975427.0,1020597.0
8011,台通,0.25,0.4,41.92,6331.0,167249.0,160811.0
8016,矽創,3.62,4.43,14.61,239.0,1596603.0,1589405.0
8021,尖點,0.15,0.48,34.82,4567.0,320210.0,322013.0
8028,昇陽半導體,0.36,0.6,80.61,9785.0,310641.0,312729.0
8033,雷虎,0.17,0.33,143.17,838.0,80220.0,104139.0
8039,台虹,0.63,1.27,17.29,2655.0,964565.0,872939.0
8046,南電,-0.24,0.18,48.12,1709.0,3097645.0,2968814.0
8070,長華*,0.48,0.74,28.12,6317.0,1524668.0,1509848.0
8072,陞泰,0.36,0.36,26.07,191.0,80646.0,96249.0
8081,致新,4.41,4.28,12.89,242.0,805873.0,725827.0
8101,華冠,-0.71,-0.47,0.0,11407.0,18973.0,
8103,瀚荃,1.05,1.4,15.11,854.0,299303.0,282174.0
8104,錸寶,0.01,0.23,714.0,193845.0,211224.0,
8105,凌巨,0.15,-0.15,64.07,1801.0,766422.0,819432.0
8110,華東,0.3,0.12,40.83,1704.0,658850.0,640424.0
8112,至上,0.91,1.5,13.61,2075.0,15971747.0,24588497.0
8114,振樺電,1.46,3.05,30.9,745.0,1222483.0,1204691.0
8131,福懋科,0.79,0.64,21.9,178.0,738107.0,636214.0
8150,南茂,0.6,0.62,13.62,1589.0,2115776.0,1888888.0
8163,達方,0.52,0.62,8.63,216.0,1814220.0,1766134.0
8201,無敵,-0.32,-0.21,94.0,45719.0,37063.0,
8210,勤誠,3.03,3.77,22.31,2631.0,1303517.0,1465146.0
8213,志超,0.41,0.79,10.64,273.0,1565697.0,1383790.0
8215,明基材,0.11,0.23,31.6,290.0,1548109.0,1579238.0
8222,寶一,0.44,0.36,32.17,147.0,92164.0,74630.0
8249,菱光,0.21,0.5,38.85,9040.0,478850.0,376596.0
8261,富鼎,0.74,1.15,21.83,199.0,296181.0,245631.0
8271,宇瞻,0.94,0.69,13.08,311.0,668693.0,617432.0
8341,日友,0.46,1.01,30.12,169.0,307233.0,348665.0
8367,建新國際,0.65,1.18,14.23,47.0,248393.0,254853.0
8374,羅昇,0,0.05,8977.0,399895.0,347776.0,
8404,百和興業-KY,0.18,0.31,13921.0,700656.0,637953.0,
8411,福貞-KY,-0.06,0.13,43.59,117.0,817287.0,702204.0
8422,可寧衛,2.26,2.51,22.37,123.0,447422.0,337460.0
8429,金麗-KY,-0.08,0.04,3278.0,11387.0,11977.0,
8438,昶昕,0.36,0.77,21.28,177.0,296631.0,301193.0
8442,威宏-KY,2.67,3.71,9.6,39.0,760142.0,684937.0
8443,阿瘦,0.14,-0.37,29.0,87499.0,113462.0,
8454,富邦媒,3.78,3.2,25.29,883.0,8762069.0,8245284.0
8462,柏文,0.62,1.17,37.82,47.0,453356.0,445693.0
8463,潤泰材,0.38,0.15,27.65,47.0,615168.0,592900.0
8464,億豐,4.88,6.04,23.15,398.0,2629809.0,2527173.0
8466,美吉吉-KY,0.03,0.96,146.11,136.0,387259.0,401491.0
8467,波力-KY,1.72,3.48,28.73,347.0,212252.0,202614.0
8473,山林水,0.81,0.21,29.93,380.0,367986.0,181394.0
8476,台境,0.52,2.09,14.88,69.0,148139.0,102082.0
8478,東哥遊艇,6.08,5.93,12.36,247.0,277542.0,632859.0
8481,政伸,0.57,0.78,24.66,12.0,102214.0,101551.0
8482,商億-KY,0.83,1.25,20.0,6.0,346573.0,308330.0
8488,吉源-KY,-0.2,-0.4,6.0,258969.0,281510.0,
8499,鼎炫-KY,2.42,1.99,12.55,7.0,193793.0,171074.0
8926,台汽電,0.42,0.56,31.88,945.0,735136.0,701063.0
8940,新天地,1.15,-1.46,54.22,60.0,52898.0,133124.0
8996,高力,1.44,1.84,59.12,3369.0,458849.0,381938.0
9802,鈺齊-KY,1.48,2.14,19.28,312.0,1099590.0,941813.0
9902,台火,0.39,0.22,23.84,205.0,2390.0,2394.0
9904,寶成,1.58,1.16,7.79,7539.0,23226674.0,21335005.0
9905,大華,0.34,0.38,15.07,100.0,893027.0,723097.0
9906,欣巴巴,-0.56,0.52,139.01,1331.0,677289.0,150251.0
9907,統一實,0.1,0.33,37.5,806.0,4217191.0,4125541.0
9908,大台北,0.48,0.42,14.5,140.0,244698.0,234086.0
9910,豐泰,1.29,1.6,23.41,551.0,7869949.0,6822159.0
9911,櫻花,1.63,1.41,14.12,364.0,807192.0,852354.0
9912,偉聯,-0.34,-0.14,72.0,47986.0,38313.0,
9914,美利達,1.39,2.19,37.35,1090.0,2922801.0,2556013.0
9917,中保科,1.4,1.78,21.94,407.0,1473856.0,1507922.0
9918,欣天然,1,0.61,17.83,9.0,124957.0,116040.0
9919,康那香,-0.48,-0.39,4.74,197.0,282089.0,278317.0
9921,巨大,1.33,2.94,24.13,1563.0,6855587.0,6028419.0
9924,福興,1.3,1.24,9.2,178.0,951737.0,554996.0
9925,新保,0.52,0.89,17.47,126.0,669077.0,648220.0
9926,新海,0.68,0.87,20.34,9.0,177234.0,173192.0
9927,泰銘,1.92,1.87,9.82,168.0,695414.0,713276.0
9928,中視,0.14,-0.05,45.91,281.0,66822.0,69736.0
9929,秋雨,-0.09,0.09,3.0,58510.0,51454.0,
9930,中聯資源,1.18,1.18,16.62,157.0,1154187.0,1138300.0
9931,欣高,0.51,0.95,16.32,12.0,93133.0,116226.0
9933,中鼎,0.58,0.76,17.36,1079.0,9920706.0,9078340.0
9934,成霖,0.3,0.54,9.34,2708.0,1574734.0,1463163.0
9935,慶豐富,0.5,0.56,20.44,3088.0,516826.0,518156.0
9937,全國,0.57,0.56,25.49,19.0,2120431.0,2028502.0
9938,百和,1.12,1.17,22.63,5005.0,1565866.0,1437236.0
9939,宏全,2.61,3.02,15.52,683.0,2775238.0,2344676.0
9940,信義,0.62,0.92,11.86,179.0,862597.0,836239.0
9941,裕融,2.27,2.34,17.03,552.0,3579840.0,3415574.0
9942,茂順,2.27,2,11.59,22.0,335463.0,322594.0
9943,好樂迪,2.8,1.68,14.99,54.0,213536.0,202691.0
9944,新麗,1.53,-0.36,60.44,138.0,175237.0,144538.0
9945,潤泰新,2.46,1.54,9.67,3865.0,3358686.0,2940962.0
9946,三發地產,0.12,0.44,33.92,419.0,90675.0,13385.0
9955,佳龍,-0.31,-0.24,945.0,96834.0,88398.0,
9958,世紀鋼,2.66,2.19,29.05,7735.0,922599.0,1025697.0
